total_distance,epsilon_required,num_pairs,src_len,trg_len
50,4,27,31,30
11,3,11,13,11
2,1,28,24,28
36,13,25,28,25
53,11,31,31,31
14,6,30,26,30
57,20,47,45,51
125,32,50,59,56
23,9,42,37,43
212,25,34,46,36
3,2,17,14,17
22,4,15,17,15
1,1,27,25,30
73,11,26,25,26
75,9,20,25,20
97,9,18,24,18
23,4,18,20,18
1,1,24,15,25
65,8,29,34,30
14,3,12,13,12
168,18,34,37,38
37,9,20,23,21
98,9,27,33,28
25,6,14,16,14
7,5,26,26,29
8,8,18,18,18
67,5,34,39,37
14,4,23,23,23
18,5,11,14,12
20,5,13,15,13
23,7,7,13,7
17,3,14,16,14
127,15,36,40,41
64,13,32,33,34
84,8,32,39,36
18,5,49,39,52
58,29,83,80,98
143,11,40,44,44
90,10,57,59,59
49,17,47,48,54
24,10,33,31,35
64,8,42,43,47
4,2,6,9,7
12,5,18,16,18
218,29,63,68,71
87,10,28,30,28
36,20,27,28,30
35,15,59,58,69
20,3,18,21,18
27,4,25,23,25
40,10,47,48,49
116,20,53,61,66
368,28,73,85,76
0,0,10,9,10
6,3,30,30,31
120,12,37,41,38
57,10,21,25,22
0,0,28,25,29
6,3,29,24,31
69,9,61,62,69
172,8,46,51,48
16,5,22,26,23
102,13,19,26,19
9,3,35,24,35
51,7,38,42,40
6,3,17,12,18
77,12,24,28,25
218,15,35,45,45
19,9,19,21,22
65,7,20,23,20
78,9,23,28,23
4,4,48,35,49
10,2,25,22,25
2,2,26,16,28
1,1,22,18,22
7,3,34,30,34
27,6,36,35,40
23,8,43,41,45
75,7,24,29,25
0,0,34,26,35
198,17,29,42,30
34,8,15,14,15
16,4,83,87,88
145,11,29,35,29
61,12,29,31,29
104,13,54,61,61
459,35,57,76,60
11,2,10,11,10
29,7,35,33,37
27,5,31,32,31
39,5,36,37,37
157,27,51,65,64
196,26,62,63,66
8,3,30,28,32
213,21,38,48,40
673,29,62,89,67
138,30,80,88,88
53,6,50,48,53
33,14,63,64,67
4,2,35,30,35
220,24,51,64,58
159,21,39,48,39
3,1,7,8,7
111,15,40,48,43
85,6,60,71,68
492,28,50,71,53
49,14,47,50,54
181,21,28,39,29
28,5,14,20,15
73,15,67,68,68
1,1,14,13,14
71,17,53,60,60
431,21,81,97,88
671,39,87,107,98
292,36,16,54,18
41,17,70,49,85
383,21,57,75,62
86,18,14,32,14
405,46,106,132,127
274,15,36,48,36
78,15,19,26,20
8,5,16,16,16
42,11,59,59,65
245,19,28,41,30
77,13,55,59,59
320,29,35,55,38
0,0,8,5,8
283,16,26,42,27
344,13,57,80,67
91,19,15,26,15
35,6,20,21,20
43,9,15,19,15
100,20,39,43,42
1,1,17,12,17
21,2,31,31,31
16,7,35,33,36
0,0,10,7,10
25,11,28,25,28
63,7,21,24,21
231,39,58,63,58
28,8,35,38,37
110,16,56,55,61
42,6,45,46,49
10,2,23,21,23
525,43,61,92,67
203,18,38,49,42
41,19,28,29,29
7,4,29,23,29
108,9,27,31,28
261,28,32,61,33
93,24,47,52,53
17,10,28,27,30
277,20,50,67,60
0,0,5,5,5
6,2,9,9,9
4,3,8,12,8
174,7,73,78,74
4,4,56,53,60
73,17,41,47,46
94,21,53,53,54
632,21,61,80,62
224,11,39,51,42
160,11,47,55,48
151,13,51,57,51
245,22,88,100,96
10,4,12,12,12
6,3,21,19,21
3,2,43,37,43
37,8,33,32,34
4,2,17,14,17
0,0,15,15,15
10,4,50,50,56
72,5,28,34,30
5,2,38,36,40
26,10,45,37,52
2,1,24,20,24
101,17,37,40,40
12,4,25,27,26
108,12,22,29,22
4,2,11,11,11
